Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,OUTRAS,1
2019-01-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,PNEUMONIA,1
2020-01-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,RJ,Rio de Janeiro,20 - 29,M,HOSPITAL,OUTRAS,1
2020-01-01,RJ,Rio de Janeiro,20 - 29,M,HOSPITAL,OUTRAS,1
2019-01-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,OUTRAS,1
2019-01-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,PNEUMONIA,1
2019-01-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,OUTRAS,2
2020-01-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,SEPTICEMIA,2
2019-01-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,OUTRAS,1
2019-01-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,OUTRAS,2
2019-01-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,OUTRAS,7
2020-01-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,3
2020-01-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,PNEUMONIA,1
2020-01-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,OUTRAS,12
2019-01-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,PNEUMONIA,2
2020-01-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,OUTRAS,6
2020-01-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,PNEUMONIA,1
2020-01-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,OUTRAS,7
2019-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2019-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,PNEUMONIA,3
2019-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,SEPTICEMIA,3
2020-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,OUTRAS,3
2020-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,PNEUMONIA,5
2020-01-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,SEPTICEMIA,4
2019-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,OUTRAS,3
2019-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,SEPTICEMIA,2
2020-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,OUTRAS,7
2020-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,PNEUMONIA,3
2020-01-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,SEPTICEMIA,3
2019-01-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,OUTRAS,2
2020-01-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
