Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,AM,Manaus,10 - 19,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,10 - 19,M,HOSPITAL,OUTRAS,2
2019-01-01,AM,Manaus,20 - 29,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,20 - 29,M,HOSPITAL,OUTRAS,2
2019-01-01,AM,Manaus,30 - 39,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,30 - 39,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,30 - 39,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,AM,Manaus,50 - 59,M,HOSPITAL,OUTRAS,3
2020-01-01,AM,Manaus,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,AM,Manaus,60 - 69,M,HOSPITAL,OUTRAS,2
2019-01-01,AM,Manaus,60 - 69,M,HOSPITAL,PNEUMONIA,2
2020-01-01,AM,Manaus,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,AM,Manaus,90 - 99,M,HOSPITAL,SEPTICEMIA,2
2020-01-01,AM,Manaus,< 9,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,40 - 49,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,AM,Manaus,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-01,AM,Manaus,80 - 89,M,HOSPITAL,PNEUMONIA,1
2020-01-01,AM,Manaus,> 100,M,HOSPITAL,PNEUMONIA,1
2019-01-01,AM,Manaus,50 - 59,M,DOMICILIO,OUTRAS,1
2019-01-01,AM,Manaus,60 - 69,M,DOMICILIO,OUTRAS,1
2020-01-01,AM,Manaus,60 - 69,M,DOMICILIO,OUTRAS,1
2020-01-01,AM,Manaus,20 - 29,M,DOMICILIO,OUTRAS,1
2020-01-01,AM,Manaus,40 - 49,M,DOMICILIO,OUTRAS,1
