Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,BA,Salvador,< 9,M,HOSPITAL,OUTRAS,1
2020-01-01,BA,Salvador,< 9,M,HOSPITAL,OUTRAS,1
2019-01-01,BA,Salvador,60 - 69,M,HOSPITAL,OUTRAS,3
2019-01-01,BA,Salvador,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,BA,Salvador,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,BA,Salvador,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,BA,Salvador,80 - 89,M,HOSPITAL,OUTRAS,1
2019-01-01,BA,Salvador,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,3
2019-01-01,BA,Salvador,80 - 89,M,HOSPITAL,PNEUMONIA,2
2019-01-01,BA,Salvador,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,BA,Salvador,80 - 89,M,HOSPITAL,OUTRAS,1
2019-01-01,BA,Salvador,90 - 99,M,HOSPITAL,OUTRAS,2
2020-01-01,BA,Salvador,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-01,BA,Salvador,30 - 39,M,HOSPITAL,OUTRAS,1
2020-01-01,BA,Salvador,50 - 59,M,HOSPITAL,OUTRAS,1
2020-01-01,BA,Salvador,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,BA,Salvador,50 - 59,M,HOSPITAL,SEPTICEMIA,2
2019-01-01,BA,Salvador,50 - 59,M,DOMICILIO,OUTRAS,1
2020-01-01,BA,Salvador,50 - 59,M,DOMICILIO,OUTRAS,1
2019-01-01,BA,Salvador,60 - 69,M,DOMICILIO,OUTRAS,1
2019-01-01,BA,Salvador,70 - 79,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,BA,Salvador,80 - 89,M,DOMICILIO,OUTRAS,1
2019-01-01,BA,Salvador,60 - 69,F,HOSPITAL,OUTRAS,2
2020-01-01,BA,Salvador,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-01,BA,Salvador,60 - 69,F,HOSPITAL,PNEUMONIA,1
2019-01-01,BA,Salvador,70 - 79,F,HOSPITAL,OUTRAS,3
2020-01-01,BA,Salvador,70 - 79,F,HOSPITAL,OUTRAS,1
