Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,GO,Goiânia,< 9,M,HOSPITAL,PNEUMONIA,1
2019-01-01,GO,Goiânia,< 9,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,GO,Goiânia,< 9,M,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,50 - 59,M,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,50 - 59,M,HOSPITAL,PNEUMONIA,1
2020-01-01,GO,Goiânia,50 - 59,M,HOSPITAL,OUTRAS,2
2020-01-01,GO,Goiânia,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,60 - 69,M,HOSPITAL,PNEUMONIA,2
2020-01-01,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,2
2020-01-01,GO,Goiânia,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-01,GO,Goiânia,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2020-01-01,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-01,GO,Goiânia,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,GO,Goiânia,90 - 99,M,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,40 - 49,M,HOSPITAL,OUTRAS,3
2020-01-01,GO,Goiânia,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,80 - 89,M,HOSPITAL,PNEUMONIA,2
2019-01-01,GO,Goiânia,10 - 19,M,VIA_PUBLICA,OUTRAS,1
2019-01-01,GO,Goiânia,40 - 49,M,VIA_PUBLICA,OUTRAS,1
2019-01-01,GO,Goiânia,30 - 39,F,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,40 - 49,F,HOSPITAL,PNEUMONIA,1
2020-01-01,GO,Goiânia,40 - 49,F,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,40 - 49,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,GO,Goiânia,50 - 59,F,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,50 - 59,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2019-01-01,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,GO,Goiânia,60 - 69,F,HOSPITAL,PNEUMONIA,1
2020-01-01,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,60 - 69,F,HOSPITAL,PNEUMONIA,2
2020-01-01,GO,Goiânia,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2019-01-01,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,2
2019-01-01,GO,Goiânia,80 - 89,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,GO,Goiânia,80 - 89,F,HOSPITAL,PNEUMONIA,1
2020-01-01,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,80 - 89,F,HOSPITAL,PNEUMONIA,1
2019-01-01,GO,Goiânia,90 - 99,F,HOSPITAL,OUTRAS,1
2019-01-01,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-01,GO,Goiânia,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2020-01-01,GO,Goiânia,90 - 99,F,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,1
2020-01-01,GO,Goiânia,20 - 29,F,HOSPITAL,SEPTICEMIA,1
2020-01-01,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-01,GO,Goiânia,70 - 79,F,HOSPITAL,PNEUMONIA,1
2019-01-02,GO,Goiânia,< 9,M,HOSPITAL,OUTRAS,1
2019-01-02,GO,Goiânia,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-02,GO,Goiânia,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-02,GO,Goiânia,40 - 49,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-02,GO,Goiânia,50 - 59,M,HOSPITAL,OUTRAS,1
2020-01-02,GO,Goiânia,50 - 59,M,HOSPITAL,OUTRAS,2
2020-01-02,GO,Goiânia,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-02,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-02,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,2
2020-01-02,GO,Goiânia,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-02,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-02,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,1
2020-01-02,GO,Goiânia,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2019-01-02,GO,Goiânia,80 - 89,M,HOSPITAL,PNEUMONIA,3
2019-01-02,GO,Goiânia,90 - 99,M,HOSPITAL,OUTRAS,1
2019-01-02,GO,Goiânia,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2020-01-02,GO,Goiânia,20 - 29,M,HOSPITAL,OUTRAS,1
2019-01-02,GO,Goiânia,60 - 69,M,DOMICILIO,OUTRAS,1
2019-01-02,GO,Goiânia,80 - 89,M,DOMICILIO,OUTRAS,1
2020-01-02,GO,Goiânia,80 - 89,M,DOMICILIO,OUTRAS,1
2020-01-02,GO,Goiânia,40 - 49,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-02,GO,Goiânia,70 - 79,M,DOMICILIO,OUTRAS,1
2019-01-04,GO,Goiânia,10 - 19,M,HOSPITAL,PNEUMONIA,1
2020-01-04,GO,Goiânia,10 - 19,M,HOSPITAL,OUTRAS,1
2019-01-04,GO,Goiânia,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-04,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,1
2019-01-04,GO,Goiânia,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2020-01-04,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-04,GO,Goiânia,60 - 69,M,HOSPITAL,PNEUMONIA,2
2019-01-04,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-04,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,2
2019-01-04,GO,Goiânia,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-04,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,2
2019-01-04,GO,Goiânia,80 - 89,M,HOSPITAL,PNEUMONIA,3
2019-01-04,GO,Goiânia,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2020-01-04,GO,Goiânia,80 - 89,M,HOSPITAL,OUTRAS,2
2020-01-04,GO,Goiânia,30 - 39,M,HOSPITAL,SEPTICEMIA,1
2020-01-04,GO,Goiânia,40 - 49,M,HOSPITAL,PNEUMONIA,1
2020-01-04,GO,Goiânia,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2019-01-05,GO,Goiânia,70 - 79,M,HOSPITAL,INDETERMINADA,1
2019-01-05,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,2
2020-01-05,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,2
2019-01-05,GO,Goiânia,80 - 89,M,HOSPITAL,OUTRAS,1
2019-01-05,GO,Goiânia,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-05,GO,Goiânia,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-05,GO,Goiânia,80 - 89,M,HOSPITAL,PNEUMONIA,2
2019-01-05,GO,Goiânia,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-05,GO,Goiânia,< 9,M,HOSPITAL,PNEUMONIA,1
2020-01-05,GO,Goiânia,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-05,GO,Goiânia,60 - 69,M,HOSPITAL,PNEUMONIA,1
2020-01-05,GO,Goiânia,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-05,GO,Goiânia,70 - 79,F,DOMICILIO,OUTRAS,1
2020-01-05,GO,Goiânia,70 - 79,F,DOMICILIO,OUTRAS,2
2020-01-05,GO,Goiânia,70 - 79,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-05,GO,Goiânia,90 - 99,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-07,GO,Goiânia,20 - 29,M,DOMICILIO,OUTRAS,1
2019-01-07,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2019-01-07,GO,Goiânia,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-07,GO,Goiânia,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-07,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-07,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-07,GO,Goiânia,70 - 79,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2020-01-07,GO,Goiânia,70 - 79,F,HOSPITAL,PNEUMONIA,1
2019-01-07,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,1
2019-01-07,GO,Goiânia,80 - 89,F,HOSPITAL,PNEUMONIA,3
2020-01-07,GO,Goiânia,10 - 19,F,HOSPITAL,PNEUMONIA,1
2020-01-07,GO,Goiânia,50 - 59,F,HOSPITAL,OUTRAS,1
2020-01-07,GO,Goiânia,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2020-01-07,GO,Goiânia,> 100,F,HOSPITAL,PNEUMONIA,1
2019-01-07,GO,Goiânia,80 - 89,F,VIA_PUBLICA,PNEUMONIA,1
2019-01-10,GO,Goiânia,< 9,M,HOSPITAL,OUTRAS,1
2019-01-10,GO,Goiânia,< 9,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-10,GO,Goiânia,< 9,M,HOSPITAL,SEPTICEMIA,1
2020-01-10,GO,Goiânia,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-01-10,GO,Goiânia,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2019-01-10,GO,Goiânia,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-10,GO,Goiânia,50 - 59,M,HOSPITAL,PNEUMONIA,3
2019-01-10,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-10,GO,Goiânia,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-10,GO,Goiânia,60 - 69,M,HOSPITAL,PNEUMONIA,1
2019-01-10,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,3
2019-01-10,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-10,GO,Goiânia,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-10,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-10,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,1
2020-01-10,GO,Goiânia,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2019-01-10,GO,Goiânia,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-10,GO,Goiânia,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2020-01-10,GO,Goiânia,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-10,GO,Goiânia,30 - 39,M,HOSPITAL,PNEUMONIA,1
2020-01-10,GO,Goiânia,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2019-01-13,GO,Goiânia,< 9,F,HOSPITAL,SEPTICEMIA,2
2019-01-13,GO,Goiânia,50 - 59,F,HOSPITAL,SEPTICEMIA,1
2019-01-13,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-13,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-13,GO,Goiânia,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-13,GO,Goiânia,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2019-01-13,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2019-01-13,GO,Goiânia,70 - 79,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-13,GO,Goiânia,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-13,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,2
2020-01-13,GO,Goiânia,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2019-01-13,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,2
2019-01-13,GO,Goiânia,80 - 89,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2019-01-13,GO,Goiânia,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2020-01-13,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,1
2020-01-13,GO,Goiânia,80 - 89,F,HOSPITAL,PNEUMONIA,1
2020-01-13,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-16,GO,Goiânia,30 - 39,F,HOSPITAL,OUTRAS,1
2019-01-16,GO,Goiânia,40 - 49,F,HOSPITAL,OUTRAS,1
2019-01-16,GO,Goiânia,40 - 49,F,HOSPITAL,PNEUMONIA,1
2019-01-16,GO,Goiânia,50 - 59,F,HOSPITAL,OUTRAS,1
2019-01-16,GO,Goiânia,50 - 59,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-16,GO,Goiânia,50 - 59,F,HOSPITAL,PNEUMONIA,1
2020-01-16,GO,Goiânia,50 - 59,F,HOSPITAL,PNEUMONIA,1
2020-01-16,GO,Goiânia,50 - 59,F,HOSPITAL,SEPTICEMIA,1
2019-01-16,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-16,GO,Goiânia,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2019-01-16,GO,Goiânia,80 - 89,F,HOSPITAL,SEPTICEMIA,2
2020-01-16,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,2
2019-01-16,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,2
2020-01-16,GO,Goiânia,90 - 99,F,HOSPITAL,OUTRAS,1
2020-01-16,GO,Goiânia,90 - 99,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-16,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-16,GO,Goiânia,> 100,F,HOSPITAL,OUTRAS,1
2020-01-16,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-16,GO,Goiânia,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2019-01-21,GO,Goiânia,20 - 29,M,HOSPITAL,OUTRAS,1
2019-01-21,GO,Goiânia,30 - 39,M,HOSPITAL,OUTRAS,1
2019-01-21,GO,Goiânia,30 - 39,M,HOSPITAL,PNEUMONIA,1
2019-01-21,GO,Goiânia,40 - 49,M,HOSPITAL,OUTRAS,1
2019-01-21,GO,Goiânia,40 - 49,M,HOSPITAL,SEPTICEMIA,2
2019-01-21,GO,Goiânia,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2020-01-21,GO,Goiânia,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-21,GO,Goiânia,60 - 69,M,HOSPITAL,PNEUMONIA,1
2020-01-21,GO,Goiânia,60 - 69,M,HOSPITAL,PNEUMONIA,1
2020-01-21,GO,Goiânia,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-21,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-21,GO,Goiânia,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-21,GO,Goiânia,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-21,GO,Goiânia,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-21,GO,Goiânia,70 - 79,M,HOSPITAL,PNEUMONIA,1
2020-01-21,GO,Goiânia,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2019-01-21,GO,Goiânia,80 - 89,M,HOSPITAL,PNEUMONIA,1
2020-01-21,GO,Goiânia,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-21,GO,Goiânia,90 - 99,M,HOSPITAL,PNEUMONIA,1
2019-01-21,GO,Goiânia,< 9,M,DOMICILIO,OUTRAS,1
2019-01-21,GO,Goiânia,20 - 29,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-21,GO,Goiânia,90 - 99,M,DOMICILIO,OUTRAS,1
2020-01-21,GO,Goiânia,40 - 49,M,DOMICILIO,OUTRAS,1
2020-01-21,GO,Goiânia,50 - 59,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-21,GO,Goiânia,60 - 69,M,DOMICILIO,OUTRAS,1
2020-01-21,GO,Goiânia,80 - 89,M,DOMICILIO,OUTRAS,2
2019-01-21,GO,Goiânia,30 - 39,M,VIA_PUBLICA,OUTRAS,1
2020-01-21,GO,Goiânia,30 - 39,M,VIA_PUBLICA,OUTRAS,1
2020-01-21,GO,Goiânia,20 - 29,M,VIA_PUBLICA,OUTRAS,1
2019-01-21,GO,Goiânia,< 9,F,HOSPITAL,OUTRAS,1
2020-01-21,GO,Goiânia,< 9,F,HOSPITAL,SEPTICEMIA,2
2019-01-21,GO,Goiânia,10 - 19,F,HOSPITAL,OUTRAS,1
2019-01-21,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2019-01-21,GO,Goiânia,60 - 69,F,HOSPITAL,PNEUMONIA,1
2020-01-21,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,2
2019-01-21,GO,Goiânia,70 - 79,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-21,GO,Goiânia,70 - 79,F,HOSPITAL,PNEUMONIA,2
2019-01-21,GO,Goiânia,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-21,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-21,GO,Goiânia,70 - 79,F,HOSPITAL,PNEUMONIA,2
2019-01-21,GO,Goiânia,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2020-01-21,GO,Goiânia,80 - 89,F,HOSPITAL,OUTRAS,2
2020-01-21,GO,Goiânia,80 - 89,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-21,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,1
2020-01-21,GO,Goiânia,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2019-01-21,GO,Goiânia,70 - 79,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-21,GO,Goiânia,90 - 99,F,DOMICILIO,OUTRAS,2
2019-01-22,GO,Goiânia,40 - 49,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-22,GO,Goiânia,50 - 59,M,DOMICILIO,OUTRAS,1
2020-01-22,GO,Goiânia,80 - 89,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-22,GO,Goiânia,< 9,F,HOSPITAL,OUTRAS,1
2019-01-22,GO,Goiânia,40 - 49,F,HOSPITAL,PNEUMONIA,2
2019-01-22,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,2
2019-01-22,GO,Goiânia,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2020-01-22,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-22,GO,Goiânia,60 - 69,F,HOSPITAL,PNEUMONIA,1
2020-01-22,GO,Goiânia,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2019-01-22,GO,Goiânia,70 - 79,F,HOSPITAL,OUTRAS,1
2019-01-22,GO,Goiânia,70 - 79,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-22,GO,Goiânia,70 - 79,F,HOSPITAL,PNEUMONIA,1
2020-01-22,GO,Goiânia,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2019-01-22,GO,Goiânia,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2020-01-22,GO,Goiânia,80 - 89,F,HOSPITAL,PNEUMONIA,1
2020-01-22,GO,Goiânia,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2019-01-22,GO,Goiânia,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-22,GO,Goiânia,> 100,F,HOSPITAL,OUTRAS,1
2020-01-22,GO,Goiânia,N/I,F,HOSPITAL,SEPTICEMIA,1
2019-01-22,GO,Goiânia,80 - 89,F,DOMICILIO,OUTRAS,1
2020-01-22,GO,Goiânia,80 - 89,F,DOMICILIO,PNEUMONIA,1
2020-01-22,GO,Goiânia,50 - 59,F,DOMICILIO,INDETERMINADA,1
2020-01-22,GO,Goiânia,60 - 69,F,DOMICILIO,OUTRAS,1
2019-01-23,GO,Goiânia,20 - 29,M,VIA_PUBLICA,OUTRAS,2
2019-01-23,GO,Goiânia,30 - 39,M,VIA_PUBLICA,OUTRAS,1
2019-01-23,GO,Goiânia,30 - 39,M,OUTROS,OUTRAS,1
2020-01-23,GO,Goiânia,30 - 39,M,OUTROS,OUTRAS,2
2019-01-23,GO,Goiânia,30 - 39,F,HOSPITAL,OUTRAS,1
2019-01-23,GO,Goiânia,40 - 49,F,HOSPITAL,OUTRAS,2
2019-01-23,GO,Goiânia,50 - 59,F,HOSPITAL,OUTRAS,1
2019-01-23,GO,Goiânia,50 - 59,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-23,GO,Goiânia,60 - 69,F,HOSPITAL,OUTRAS,1
