Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-01-01,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2020-01-01,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,2
2019-01-01,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2020-01-01,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,2
2019-01-01,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,3
2020-01-01,MT,Cuiaba,20 - 29,M,OUTROS,OUTRAS,1
2020-01-01,MT,Cuiaba,30 - 39,M,OUTROS,OUTRAS,1
2020-01-01,MT,Cuiaba,90 - 99,M,OUTROS,OUTRAS,1
2019-01-01,MT,Cuiaba,30 - 39,F,OUTROS,OUTRAS,1
2019-01-01,MT,Cuiaba,40 - 49,F,OUTROS,OUTRAS,1
2019-01-01,MT,Cuiaba,50 - 59,F,OUTROS,OUTRAS,1
2019-01-01,MT,Cuiaba,60 - 69,F,OUTROS,OUTRAS,1
2019-01-01,MT,Cuiaba,90 - 99,F,OUTROS,OUTRAS,4
2019-01-01,MT,Cuiaba,N/I,F,OUTROS,OUTRAS,1
2020-01-01,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2019-01-02,MT,Cuiaba,50 - 59,M,OUTROS,OUTRAS,1
2019-01-02,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,1
2020-01-02,MT,Cuiaba,60 - 69,M,OUTROS,OUTRAS,3
2019-01-02,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,4
2020-01-02,MT,Cuiaba,70 - 79,M,OUTROS,OUTRAS,1
2019-01-02,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-02,MT,Cuiaba,80 - 89,M,OUTROS,OUTRAS,1
2020-01-02,MT,Cuiaba,40 - 49,M,OUTROS,OUTRAS,1
2019-01-02,MT,Cuiaba,< 9,F,OUTROS,OUTRAS,1
2019-01-02,MT,Cuiaba,10 - 19,F,OUTROS,OUTRAS,1
