Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,PR,Curitiba,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-01,PR,Curitiba,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,PR,Curitiba,60 - 69,M,HOSPITAL,OUTRAS,2
2020-01-01,PR,Curitiba,60 - 69,M,HOSPITAL,PNEUMONIA,1
2019-01-01,PR,Curitiba,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-01,PR,Curitiba,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-01,PR,Curitiba,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,PR,Curitiba,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-01,PR,Curitiba,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PR,Curitiba,N/I,M,HOSPITAL,OUTRAS,1
2020-01-01,PR,Curitiba,< 9,M,HOSPITAL,OUTRAS,1
2020-01-01,PR,Curitiba,30 - 39,M,HOSPITAL,OUTRAS,1
2020-01-01,PR,Curitiba,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PR,Curitiba,60 - 69,M,DOMICILIO,OUTRAS,1
2020-01-01,PR,Curitiba,70 - 79,M,DOMICILIO,OUTRAS,1
2019-01-01,PR,Curitiba,10 - 19,M,VIA_PUBLICA,OUTRAS,1
2020-01-01,PR,Curitiba,N/I,M,VIA_PUBLICA,OUTRAS,1
2019-01-01,PR,Curitiba,80 - 89,M,OUTROS,PNEUMONIA,1
2019-01-01,PR,Curitiba,60 - 69,F,DOMICILIO,OUTRAS,1
2020-01-01,PR,Curitiba,70 - 79,F,DOMICILIO,OUTRAS,1
2020-01-01,PR,Curitiba,80 - 89,F,DOMICILIO,OUTRAS,1
2019-01-02,PR,Curitiba,< 9,M,HOSPITAL,OUTRAS,1
2019-01-02,PR,Curitiba,10 - 19,M,HOSPITAL,PNEUMONIA,2
2019-01-02,PR,Curitiba,50 - 59,M,HOSPITAL,OUTRAS,3
2020-01-02,PR,Curitiba,50 - 59,M,HOSPITAL,OUTRAS,1
2019-01-02,PR,Curitiba,60 - 69,M,HOSPITAL,OUTRAS,2
2019-01-02,PR,Curitiba,60 - 69,M,HOSPITAL,PNEUMONIA,1
2019-01-02,PR,Curitiba,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2019-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,OUTRAS,2
2019-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,PNEUMONIA,1
2020-01-02,PR,Curitiba,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2019-01-02,PR,Curitiba,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-02,PR,Curitiba,80 - 89,M,HOSPITAL,SEPTICEMIA,2
2020-01-02,PR,Curitiba,80 - 89,M,HOSPITAL,OUTRAS,2
2020-01-02,PR,Curitiba,80 - 89,M,HOSPITAL,SEPTICEMIA,2
2019-01-02,PR,Curitiba,90 - 99,M,HOSPITAL,OUTRAS,1
2020-01-02,PR,Curitiba,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-02,PR,Curitiba,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2020-01-02,PR,Curitiba,40 - 49,M,HOSPITAL,OUTRAS,1
2019-01-02,PR,Curitiba,70 - 79,M,OUTROS,OUTRAS,1
2019-01-05,PR,Curitiba,20 - 29,M,HOSPITAL,OUTRAS,1
2019-01-05,PR,Curitiba,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2020-01-05,PR,Curitiba,40 - 49,M,HOSPITAL,OUTRAS,1
2019-01-05,PR,Curitiba,50 - 59,M,HOSPITAL,OUTRAS,2
2019-01-05,PR,Curitiba,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2019-01-05,PR,Curitiba,60 - 69,M,HOSPITAL,SEPTICEMIA,2
2020-01-05,PR,Curitiba,60 - 69,M,HOSPITAL,OUTRAS,2
2020-01-05,PR,Curitiba,60 - 69,M,HOSPITAL,PNEUMONIA,1
