Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,MG,Belo Horizonte,50 - 59,M,HOSPITAL,OUTRAS,1
2019-01-01,MG,Belo Horizonte,50 - 59,M,HOSPITAL,AVC,1
2020-01-01,MG,Belo Horizonte,50 - 59,M,HOSPITAL,OUTRAS,2
2020-01-01,MG,Belo Horizonte,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,MG,Belo Horizonte,50 - 59,M,HOSPITAL,SEPTICEMIA,2
2019-01-01,MG,Belo Horizonte,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,MG,Belo Horizonte,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-01,MG,Belo Horizonte,60 - 69,M,HOSPITAL,SEPTICEMIA,3
2019-01-01,MG,Belo Horizonte,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,MG,Belo Horizonte,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,MG,Belo Horizonte,80 - 89,M,HOSPITAL,PNEUMONIA,3
2020-01-01,MG,Belo Horizonte,80 - 89,M,HOSPITAL,SEPTICEMIA,2
2019-01-01,MG,Belo Horizonte,90 - 99,M,HOSPITAL,PNEUMONIA,1
2019-01-01,MG,Belo Horizonte,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,MG,Belo Horizonte,< 9,M,HOSPITAL,OUTRAS,1
2020-01-01,MG,Belo Horizonte,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-01,MG,Belo Horizonte,40 - 49,M,HOSPITAL,PNEUMONIA,2
2020-01-01,MG,Belo Horizonte,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,MG,Belo Horizonte,70 - 79,M,HOSPITAL,OUTRAS,2
2020-01-01,MG,Belo Horizonte,70 - 79,M,HOSPITAL,INFARTO,1
2020-01-01,MG,Belo Horizonte,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2020-01-01,MG,Belo Horizonte,30 - 39,M,OUTROS,OUTRAS,1
2020-01-01,MG,Belo Horizonte,60 - 69,M,OUTROS,OUTRAS,1
2020-01-01,MG,Belo Horizonte,N/I,M,OUTROS,OUTRAS,1
2019-01-01,MG,Belo Horizonte,20 - 29,F,HOSPITAL,OUTRAS,1
2019-01-01,MG,Belo Horizonte,40 - 49,F,HOSPITAL,OUTRAS,1
2019-01-01,MG,Belo Horizonte,50 - 59,F,HOSPITAL,OUTRAS,1
2019-01-01,MG,Belo Horizonte,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2020-01-01,MG,Belo Horizonte,60 - 69,F,HOSPITAL,PNEUMONIA,1
2019-01-01,MG,Belo Horizonte,70 - 79,F,HOSPITAL,INFARTO,1
2019-01-01,MG,Belo Horizonte,70 - 79,F,HOSPITAL,SEPTICEMIA,2
2020-01-01,MG,Belo Horizonte,70 - 79,F,HOSPITAL,PNEUMONIA,1
2020-01-01,MG,Belo Horizonte,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2019-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,OUTRAS,2
2019-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,AVC,1
2019-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,INFARTO,1
2019-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,PNEUMONIA,1
2019-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2020-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,OUTRAS,1
2020-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,AVC,1
2020-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,INFARTO,1
2020-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,PNEUMONIA,2
2020-01-01,MG,Belo Horizonte,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2019-01-01,MG,Belo Horizonte,90 - 99,F,HOSPITAL,OUTRAS,1
2019-01-01,MG,Belo Horizonte,90 - 99,F,HOSPITAL,CARDIOPATIA,1
2019-01-01,MG,Belo Horizonte,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-01,MG,Belo Horizonte,90 - 99,F,HOSPITAL,SEPTICEMIA,2
2020-01-01,MG,Belo Horizonte,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2019-01-01,MG,Belo Horizonte,> 100,F,HOSPITAL,OUTRAS,1
2020-01-01,MG,Belo Horizonte,> 100,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,MG,Belo Horizonte,< 9,F,HOSPITAL,OUTRAS,1
2019-01-01,MG,Belo Horizonte,50 - 59,F,DOMICILIO,OUTRAS,1
2019-01-01,MG,Belo Horizonte,80 - 89,F,DOMICILIO,OUTRAS,1
2020-01-01,MG,Belo Horizonte,80 - 89,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,MG,Belo Horizonte,90 - 99,F,DOMICILIO,OUTRAS,1
2020-01-01,MG,Belo Horizonte,90 - 99,F,DOMICILIO,OUTRAS,2
2019-01-01,MG,Belo Horizonte,> 100,F,DOMICILIO,INFARTO,1
2020-01-01,MG,Belo Horizonte,> 100,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,MG,Belo Horizonte,70 - 79,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,MG,Belo Horizonte,N/I,F,DOMICILIO,OUTRAS,1
2019-01-02,MG,Belo Horizonte,50 - 59,M,HOSPITAL,OUTRAS,1
2019-01-02,MG,Belo Horizonte,60 - 69,M,HOSPITAL,OUTRAS,2
2020-01-02,MG,Belo Horizonte,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-02,MG,Belo Horizonte,60 - 69,M,HOSPITAL,AVC,1
2019-01-02,MG,Belo Horizonte,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-02,MG,Belo Horizonte,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2019-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,OUTRAS,1
2019-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,CHOQUE_CARD,1
2020-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,AVC,1
2020-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,CHOQUE_CARD,1
2020-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,PNEUMONIA,2
2020-01-02,MG,Belo Horizonte,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2019-01-02,MG,Belo Horizonte,90 - 99,M,HOSPITAL,AVC,1
2019-01-02,MG,Belo Horizonte,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-02,MG,Belo Horizonte,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-02,MG,Belo Horizonte,90 - 99,M,HOSPITAL,SEPTICEMIA,2
2019-01-02,MG,Belo Horizonte,N/I,M,HOSPITAL,OUTRAS,1
2020-01-02,MG,Belo Horizonte,< 9,M,HOSPITAL,PNEUMONIA,1
2020-01-02,MG,Belo Horizonte,< 9,M,HOSPITAL,SEPTICEMIA,1
2020-01-02,MG,Belo Horizonte,30 - 39,M,HOSPITAL,OUTRAS,1
2019-01-02,MG,Belo Horizonte,20 - 29,M,DOMICILIO,OUTRAS,1
2020-01-02,MG,Belo Horizonte,20 - 29,M,DOMICILIO,OUTRAS,1
2019-01-02,MG,Belo Horizonte,50 - 59,M,DOMICILIO,OUTRAS,1
2019-01-02,MG,Belo Horizonte,60 - 69,M,DOMICILIO,OUTRAS,1
2019-01-02,MG,Belo Horizonte,70 - 79,M,DOMICILIO,OUTRAS,1
2019-01-02,MG,Belo Horizonte,20 - 29,M,VIA_PUBLICA,OUTRAS,1
2020-01-02,MG,Belo Horizonte,80 - 89,M,OUTROS,PNEUMONIA,1
2019-01-02,MG,Belo Horizonte,50 - 59,F,HOSPITAL,OUTRAS,1
2020-01-02,MG,Belo Horizonte,50 - 59,F,HOSPITAL,OUTRAS,2
2020-01-02,MG,Belo Horizonte,50 - 59,F,HOSPITAL,SEPTICEMIA,1
2019-01-02,MG,Belo Horizonte,60 - 69,F,HOSPITAL,PNEUMONIA,1
2020-01-02,MG,Belo Horizonte,60 - 69,F,HOSPITAL,OUTRAS,2
2020-01-02,MG,Belo Horizonte,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-02,MG,Belo Horizonte,60 - 69,F,HOSPITAL,PNEUMONIA,2
2019-01-02,MG,Belo Horizonte,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-02,MG,Belo Horizonte,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-02,MG,Belo Horizonte,70 - 79,F,HOSPITAL,INFARTO,1
2020-01-02,MG,Belo Horizonte,70 - 79,F,HOSPITAL,SEPTICEMIA,1
