Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,PA,Belém,30 - 39,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PA,Belém,40 - 49,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,PA,Belém,60 - 69,M,HOSPITAL,INFARTO,1
2019-01-01,PA,Belém,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,PA,Belém,60 - 69,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,PA,Belém,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-01,PA,Belém,60 - 69,M,HOSPITAL,PNEUMONIA,1
2019-01-01,PA,Belém,80 - 89,M,HOSPITAL,PNEUMONIA,1
2020-01-01,PA,Belém,80 - 89,M,HOSPITAL,OUTRAS,1
2019-01-01,PA,Belém,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-01-01,PA,Belém,50 - 59,M,HOSPITAL,OUTRAS,1
2020-01-01,PA,Belém,70 - 79,M,HOSPITAL,AVC,1
2020-01-01,PA,Belém,70 - 79,M,HOSPITAL,PNEUMONIA,3
2020-01-01,PA,Belém,> 100,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PA,Belém,< 9,M,VIA_PUBLICA,PNEUMONIA,1
2020-01-01,PA,Belém,70 - 79,M,VIA_PUBLICA,OUTRAS,1
2019-01-01,PA,Belém,70 - 79,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,PA,Belém,80 - 89,F,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,PA,Belém,80 - 89,F,DOMICILIO,PNEUMONIA,1
2020-01-01,PA,Belém,40 - 49,F,DOMICILIO,OUTRAS,1
2020-01-01,PA,Belém,90 - 99,F,DOMICILIO,SEPTICEMIA,1
2019-01-01,PA,Belém,30 - 39,F,OUTROS,AVC,1
2019-01-02,PA,Belém,50 - 59,M,VIA_PUBLICA,OUTRAS,1
2019-01-02,PA,Belém,< 9,F,HOSPITAL,OUTRAS,1
2019-01-02,PA,Belém,40 - 49,F,HOSPITAL,AVC,1
2019-01-02,PA,Belém,40 - 49,F,HOSPITAL,SEPTICEMIA,1
2020-01-02,PA,Belém,40 - 49,F,HOSPITAL,SEPTICEMIA,1
2019-01-02,PA,Belém,50 - 59,F,HOSPITAL,SEPTICEMIA,1
2020-01-02,PA,Belém,50 - 59,F,HOSPITAL,AVC,1
2019-01-02,PA,Belém,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2020-01-02,PA,Belém,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-02,PA,Belém,60 - 69,F,HOSPITAL,PNEUMONIA,1
