Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,PE,Recife,< 9,M,HOSPITAL,OUTRAS,2
2019-01-01,PE,Recife,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PE,Recife,30 - 39,M,HOSPITAL,CHOQUE_CARD,1
2019-01-01,PE,Recife,50 - 59,M,HOSPITAL,OUTRAS,1
2019-01-01,PE,Recife,50 - 59,M,HOSPITAL,AVC,1
2020-01-01,PE,Recife,50 - 59,M,HOSPITAL,INFARTO,1
2020-01-01,PE,Recife,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,PE,Recife,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-01,PE,Recife,60 - 69,M,HOSPITAL,AVC,1
2019-01-01,PE,Recife,60 - 69,M,HOSPITAL,SEPTICEMIA,2
2020-01-01,PE,Recife,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-01,PE,Recife,60 - 69,M,HOSPITAL,INFARTO,1
2020-01-01,PE,Recife,60 - 69,M,HOSPITAL,SEPTICEMIA,3
2019-01-01,PE,Recife,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-01,PE,Recife,70 - 79,M,HOSPITAL,AVC,1
2019-01-01,PE,Recife,70 - 79,M,HOSPITAL,CHOQUE_CARD,1
2019-01-01,PE,Recife,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-01,PE,Recife,70 - 79,M,HOSPITAL,SEPTICEMIA,3
2020-01-01,PE,Recife,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-01,PE,Recife,70 - 79,M,HOSPITAL,AVC,1
2020-01-01,PE,Recife,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PE,Recife,80 - 89,M,HOSPITAL,INFARTO,1
2019-01-01,PE,Recife,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,PE,Recife,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-01,PE,Recife,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,PE,Recife,90 - 99,M,HOSPITAL,PNEUMONIA,2
2019-01-01,PE,Recife,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2020-01-01,PE,Recife,10 - 19,M,HOSPITAL,OUTRAS,1
2020-01-01,PE,Recife,20 - 29,M,HOSPITAL,OUTRAS,1
2020-01-01,PE,Recife,40 - 49,M,HOSPITAL,OUTRAS,1
2019-01-01,PE,Recife,50 - 59,M,DOMICILIO,OUTRAS,1
2020-01-01,PE,Recife,50 - 59,M,DOMICILIO,OUTRAS,1
