Date,State,City,Age,Gender,Place of Death,Cause,#
2020-01-01,RS,Porto Alegre,< 9,M,HOSPITAL,OUTRAS,1
2020-01-01,RS,Porto Alegre,10 - 19,M,HOSPITAL,AVC,1
2020-01-01,RS,Porto Alegre,60 - 69,M,HOSPITAL,OUTRAS,3
2020-01-01,RS,Porto Alegre,60 - 69,M,HOSPITAL,CARDIOPATIA,1
2020-01-01,RS,Porto Alegre,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,RS,Porto Alegre,70 - 79,M,HOSPITAL,OUTRAS,1
2020-01-01,RS,Porto Alegre,80 - 89,M,HOSPITAL,OUTRAS,2
2020-01-01,RS,Porto Alegre,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,RS,Porto Alegre,80 - 89,M,DOMICILIO,INFARTO,1
2020-01-01,RS,Porto Alegre,80 - 89,M,DOMICILIO,OUTRAS,2
2020-01-01,RS,Porto Alegre,40 - 49,M,DOMICILIO,OUTRAS,1
2020-01-01,RS,Porto Alegre,60 - 69,M,DOMICILIO,OUTRAS,2
2019-01-01,RS,Porto Alegre,40 - 49,F,HOSPITAL,OUTRAS,1
2020-01-01,RS,Porto Alegre,< 9,F,HOSPITAL,OUTRAS,1
2020-01-01,RS,Porto Alegre,20 - 29,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,RS,Porto Alegre,30 - 39,F,HOSPITAL,SEPTICEMIA,1
2020-01-01,RS,Porto Alegre,50 - 59,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2020-01-01,RS,Porto Alegre,60 - 69,F,HOSPITAL,OUTRAS,2
2020-01-01,RS,Porto Alegre,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-01,RS,Porto Alegre,80 - 89,F,HOSPITAL,OUTRAS,4
2020-01-01,RS,Porto Alegre,80 - 89,F,HOSPITAL,AVC,1
2020-01-01,RS,Porto Alegre,80 - 89,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-01,RS,Porto Alegre,80 - 89,F,HOSPITAL,PNEUMONIA,2
2020-01-01,RS,Porto Alegre,90 - 99,F,HOSPITAL,OUTRAS,2
2020-01-01,RS,Porto Alegre,90 - 99,F,HOSPITAL,AVC,1
2020-01-01,RS,Porto Alegre,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-01,RS,Porto Alegre,90 - 99,F,DOMICILIO,OUTRAS,1
2020-01-01,RS,Porto Alegre,90 - 99,F,DOMICILIO,OUTRAS,1
2020-01-01,RS,Porto Alegre,50 - 59,F,VIA_PUBLICA,OUTRAS,1
2020-01-01,RS,Porto Alegre,60 - 69,F,VIA_PUBLICA,OUTRAS,1
2020-01-01,RS,Porto Alegre,80 - 89,F,OUTROS,INSUFICIENCIA_RESPIRATORIA,1
2019-01-02,RS,Porto Alegre,20 - 29,M,HOSPITAL,OUTRAS,1
