Date,State,City,Age,Gender,Place of Death,Cause,#
2019-01-01,SE,Aracaju,30 - 39,M,HOSPITAL,OUTRAS,1
2019-01-01,SE,Aracaju,30 - 39,M,HOSPITAL,INFARTO,1
2019-01-01,SE,Aracaju,30 - 39,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,SE,Aracaju,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-01,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2019-01-01,SE,Aracaju,60 - 69,M,HOSPITAL,INDETERMINADA,1
2019-01-01,SE,Aracaju,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-01,SE,Aracaju,60 - 69,M,HOSPITAL,SUBITA,1
2019-01-01,SE,Aracaju,80 - 89,M,HOSPITAL,AVC,1
2019-01-01,SE,Aracaju,80 - 89,M,HOSPITAL,PNEUMONIA,2
2020-01-01,SE,Aracaju,80 - 89,M,HOSPITAL,PNEUMONIA,1
2019-01-01,SE,Aracaju,90 - 99,M,DOMICILIO,OUTRAS,1
2020-01-01,SE,Aracaju,80 - 89,M,DOMICILIO,OUTRAS,1
2020-01-01,SE,Aracaju,80 - 89,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-03,SE,Aracaju,< 9,M,HOSPITAL,CHOQUE_CARD,1
2020-01-03,SE,Aracaju,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-01-03,SE,Aracaju,30 - 39,M,HOSPITAL,PNEUMONIA,1
2019-01-03,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2019-01-03,SE,Aracaju,60 - 69,M,HOSPITAL,AVC,1
2019-01-03,SE,Aracaju,70 - 79,M,HOSPITAL,INFARTO,1
2019-01-03,SE,Aracaju,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-03,SE,Aracaju,70 - 79,M,HOSPITAL,INFARTO,1
2020-01-03,SE,Aracaju,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2019-01-03,SE,Aracaju,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-03,SE,Aracaju,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-03,SE,Aracaju,< 9,F,HOSPITAL,OUTRAS,1
2019-01-03,SE,Aracaju,90 - 99,F,HOSPITAL,OUTRAS,1
2020-01-03,SE,Aracaju,90 - 99,F,HOSPITAL,OUTRAS,1
2020-01-03,SE,Aracaju,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-03,SE,Aracaju,70 - 79,F,HOSPITAL,PNEUMONIA,1
2020-01-03,SE,Aracaju,N/I,F,HOSPITAL,OUTRAS,1
2020-01-03,SE,Aracaju,90 - 99,F,OUTROS,OUTRAS,1
2019-01-04,SE,Aracaju,< 9,M,HOSPITAL,PNEUMONIA,1
2020-01-04,SE,Aracaju,< 9,M,HOSPITAL,CHOQUE_CARD,1
2019-01-04,SE,Aracaju,10 - 19,M,HOSPITAL,SEPTICEMIA,1
2019-01-04,SE,Aracaju,50 - 59,M,HOSPITAL,OUTRAS,1
2020-01-04,SE,Aracaju,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-04,SE,Aracaju,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-04,SE,Aracaju,80 - 89,M,HOSPITAL,PNEUMONIA,1
2020-01-04,SE,Aracaju,80 - 89,M,HOSPITAL,SEPTICEMIA,1
2019-01-04,SE,Aracaju,N/I,M,HOSPITAL,OUTRAS,1
2019-01-04,SE,Aracaju,40 - 49,M,DOMICILIO,OUTRAS,1
2019-01-04,SE,Aracaju,90 - 99,M,DOMICILIO,OUTRAS,1
2019-01-04,SE,Aracaju,50 - 59,F,HOSPITAL,INFARTO,1
2020-01-04,SE,Aracaju,50 - 59,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-04,SE,Aracaju,60 - 69,F,HOSPITAL,OUTRAS,1
2019-01-04,SE,Aracaju,60 - 69,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-04,SE,Aracaju,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2020-01-04,SE,Aracaju,60 - 69,F,HOSPITAL,INFARTO,1
2019-01-04,SE,Aracaju,70 - 79,F,HOSPITAL,INFARTO,1
2019-01-04,SE,Aracaju,80 - 89,F,HOSPITAL,INFARTO,1
2020-01-04,SE,Aracaju,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2019-01-04,SE,Aracaju,90 - 99,F,HOSPITAL,OUTRAS,1
2019-01-04,SE,Aracaju,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2020-01-04,SE,Aracaju,40 - 49,F,HOSPITAL,SEPTICEMIA,1
2019-01-05,SE,Aracaju,50 - 59,F,HOSPITAL,SEPTICEMIA,1
2019-01-05,SE,Aracaju,N/I,F,HOSPITAL,PNEUMONIA,1
2020-01-05,SE,Aracaju,80 - 89,F,HOSPITAL,PNEUMONIA,1
2020-01-06,SE,Aracaju,70 - 79,M,DOMICILIO,INFARTO,1
2019-01-06,SE,Aracaju,70 - 79,F,HOSPITAL,AVC,1
2019-01-06,SE,Aracaju,70 - 79,F,HOSPITAL,INFARTO,1
2020-01-06,SE,Aracaju,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-06,SE,Aracaju,50 - 59,F,HOSPITAL,OUTRAS,1
2020-01-06,SE,Aracaju,60 - 69,F,HOSPITAL,CHOQUE_CARD,1
2020-01-06,SE,Aracaju,80 - 89,F,HOSPITAL,OUTRAS,2
2020-01-06,SE,Aracaju,80 - 89,F,HOSPITAL,PNEUMONIA,1
2020-01-06,SE,Aracaju,80 - 89,F,HOSPITAL,SUBITA,1
2019-01-06,SE,Aracaju,40 - 49,F,DOMICILIO,OUTRAS,1
2020-01-06,SE,Aracaju,50 - 59,F,DOMICILIO,OUTRAS,1
2020-01-07,SE,Aracaju,60 - 69,F,DOMICILIO,OUTRAS,1
2020-01-07,SE,Aracaju,> 100,F,DOMICILIO,OUTRAS,1
2019-01-07,SE,Aracaju,60 - 69,F,OUTROS,SUBITA,1
2019-01-08,SE,Aracaju,30 - 39,F,HOSPITAL,OUTRAS,1
2019-01-08,SE,Aracaju,30 - 39,F,HOSPITAL,SUBITA,1
2019-01-08,SE,Aracaju,70 - 79,F,HOSPITAL,OUTRAS,1
2019-01-08,SE,Aracaju,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2019-01-08,SE,Aracaju,90 - 99,F,HOSPITAL,OUTRAS,1
2019-01-08,SE,Aracaju,> 100,F,HOSPITAL,SEPTICEMIA,1
2020-01-08,SE,Aracaju,50 - 59,F,HOSPITAL,SEPTICEMIA,1
2020-01-08,SE,Aracaju,80 - 89,F,HOSPITAL,AVC,1
2019-01-08,SE,Aracaju,80 - 89,F,DOMICILIO,OUTRAS,1
2020-01-08,SE,Aracaju,> 100,F,DOMICILIO,OUTRAS,1
2019-01-09,SE,Aracaju,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-09,SE,Aracaju,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-09,SE,Aracaju,90 - 99,M,HOSPITAL,OUTRAS,1
2020-01-09,SE,Aracaju,> 100,M,HOSPITAL,SEPTICEMIA,1
2019-01-09,SE,Aracaju,60 - 69,M,OUTROS,OUTRAS,1
2019-01-11,SE,Aracaju,50 - 59,M,HOSPITAL,OUTRAS,1
2020-01-11,SE,Aracaju,50 - 59,M,HOSPITAL,AVC,1
2019-01-11,SE,Aracaju,90 - 99,M,HOSPITAL,SUBITA,1
2019-01-11,SE,Aracaju,60 - 69,F,HOSPITAL,PNEUMONIA,1
2020-01-11,SE,Aracaju,60 - 69,F,HOSPITAL,OUTRAS,1
2019-01-11,SE,Aracaju,70 - 79,F,HOSPITAL,OUTRAS,1
2020-01-11,SE,Aracaju,70 - 79,F,HOSPITAL,CHOQUE_CARD,1
2019-01-11,SE,Aracaju,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2019-01-11,SE,Aracaju,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-11,SE,Aracaju,> 100,F,DOMICILIO,OUTRAS,1
2019-01-12,SE,Aracaju,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2020-01-12,SE,Aracaju,50 - 59,M,HOSPITAL,OUTRAS,1
2019-01-12,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2019-01-12,SE,Aracaju,60 - 69,M,HOSPITAL,CHOQUE_CARD,1
2020-01-12,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2019-01-12,SE,Aracaju,80 - 89,M,HOSPITAL,OUTRAS,1
2019-01-12,SE,Aracaju,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-12,SE,Aracaju,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-12,SE,Aracaju,90 - 99,M,HOSPITAL,PNEUMONIA,1
2019-01-12,SE,Aracaju,50 - 59,M,VIA_PUBLICA,CARDIOPATIA,1
2019-01-12,SE,Aracaju,60 - 69,F,HOSPITAL,PNEUMONIA,1
2020-01-12,SE,Aracaju,60 - 69,F,HOSPITAL,CHOQUE_CARD,1
2020-01-12,SE,Aracaju,50 - 59,F,HOSPITAL,OUTRAS,1
2020-01-12,SE,Aracaju,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-12,SE,Aracaju,80 - 89,F,HOSPITAL,SEPTICEMIA,2
2020-01-12,SE,Aracaju,80 - 89,F,DOMICILIO,SUBITA,1
2019-01-13,SE,Aracaju,60 - 69,M,HOSPITAL,INFARTO,1
2020-01-13,SE,Aracaju,60 - 69,M,HOSPITAL,CARDIOPATIA,1
2019-01-13,SE,Aracaju,70 - 79,M,HOSPITAL,OUTRAS,2
2019-01-13,SE,Aracaju,70 - 79,M,HOSPITAL,INFARTO,1
2019-01-13,SE,Aracaju,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-13,SE,Aracaju,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-13,SE,Aracaju,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-13,SE,Aracaju,80 - 89,M,HOSPITAL,CHOQUE_CARD,1
2019-01-13,SE,Aracaju,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2020-01-13,SE,Aracaju,90 - 99,M,HOSPITAL,OUTRAS,1
2020-01-13,SE,Aracaju,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-01-14,SE,Aracaju,< 9,M,HOSPITAL,OUTRAS,1
2019-01-14,SE,Aracaju,20 - 29,M,HOSPITAL,OUTRAS,1
2019-01-14,SE,Aracaju,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-14,SE,Aracaju,70 - 79,M,HOSPITAL,SEPTICEMIA,1
2020-01-14,SE,Aracaju,70 - 79,M,HOSPITAL,SUBITA,1
2020-01-14,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-14,SE,Aracaju,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-14,SE,Aracaju,90 - 99,M,HOSPITAL,SEPTICEMIA,1
2019-01-14,SE,Aracaju,< 9,F,HOSPITAL,CHOQUE_CARD,1
2019-01-14,SE,Aracaju,50 - 59,F,HOSPITAL,SUBITA,1
2019-01-14,SE,Aracaju,60 - 69,F,HOSPITAL,SEPTICEMIA,1
2019-01-14,SE,Aracaju,70 - 79,F,HOSPITAL,AVC,1
2020-01-14,SE,Aracaju,70 - 79,F,HOSPITAL,PNEUMONIA,1
2019-01-14,SE,Aracaju,80 - 89,F,HOSPITAL,OUTRAS,1
2019-01-14,SE,Aracaju,90 - 99,F,HOSPITAL,OUTRAS,1
2020-01-14,SE,Aracaju,90 - 99,F,HOSPITAL,OUTRAS,1
2019-01-14,SE,Aracaju,> 100,F,HOSPITAL,SEPTICEMIA,1
2019-01-15,SE,Aracaju,30 - 39,F,HOSPITAL,PNEUMONIA,1
2019-01-15,SE,Aracaju,50 - 59,F,HOSPITAL,CARDIOPATIA,1
2019-01-15,SE,Aracaju,70 - 79,F,HOSPITAL,OUTRAS,1
2019-01-15,SE,Aracaju,70 - 79,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-15,SE,Aracaju,70 - 79,F,HOSPITAL,PNEUMONIA,1
2019-01-15,SE,Aracaju,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2019-01-15,SE,Aracaju,80 - 89,F,HOSPITAL,SEPTICEMIA,1
2020-01-15,SE,Aracaju,< 9,F,HOSPITAL,OUTRAS,1
2020-01-15,SE,Aracaju,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2019-01-16,SE,Aracaju,50 - 59,M,HOSPITAL,PNEUMONIA,1
2019-01-16,SE,Aracaju,70 - 79,M,HOSPITAL,CHOQUE_CARD,1
2020-01-16,SE,Aracaju,70 - 79,M,HOSPITAL,INFARTO,1
2019-01-16,SE,Aracaju,> 100,M,HOSPITAL,SEPTICEMIA,1
2020-01-16,SE,Aracaju,20 - 29,M,HOSPITAL,OUTRAS,1
2020-01-16,SE,Aracaju,30 - 39,M,HOSPITAL,SEPTICEMIA,1
2020-01-16,SE,Aracaju,40 - 49,M,HOSPITAL,OUTRAS,1
2020-01-16,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-16,SE,Aracaju,80 - 89,M,HOSPITAL,OUTRAS,1
2020-01-16,SE,Aracaju,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-01-16,SE,Aracaju,80 - 89,M,HOSPITAL,SEPTICEMIA,2
2019-01-16,SE,Aracaju,80 - 89,F,DOMICILIO,AVC,1
2019-01-17,SE,Aracaju,60 - 69,F,DOMICILIO,INDETERMINADA,1
2019-01-17,SE,Aracaju,70 - 79,F,DOMICILIO,OUTRAS,1
2019-01-17,SE,Aracaju,90 - 99,F,DOMICILIO,PNEUMONIA,1
2020-01-17,SE,Aracaju,90 - 99,F,DOMICILIO,SEPTICEMIA,1
2019-01-19,SE,Aracaju,90 - 99,F,HOSPITAL,PNEUMONIA,1
2019-01-19,SE,Aracaju,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2020-01-19,SE,Aracaju,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2020-01-19,SE,Aracaju,90 - 99,F,HOSPITAL,SUBITA,1
2019-01-19,SE,Aracaju,N/I,F,HOSPITAL,OUTRAS,1
2020-01-19,SE,Aracaju,30 - 39,F,HOSPITAL,OUTRAS,1
2020-01-19,SE,Aracaju,50 - 59,F,HOSPITAL,SUBITA,1
2020-01-19,SE,Aracaju,60 - 69,F,HOSPITAL,OUTRAS,1
2020-01-19,SE,Aracaju,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-19,SE,Aracaju,80 - 89,F,HOSPITAL,OUTRAS,1
2019-01-19,SE,Aracaju,80 - 89,F,DOMICILIO,OUTRAS,1
2019-01-21,SE,Aracaju,30 - 39,M,HOSPITAL,OUTRAS,1
2019-01-21,SE,Aracaju,50 - 59,M,HOSPITAL,PNEUMONIA,1
2020-01-21,SE,Aracaju,50 - 59,M,HOSPITAL,SEPTICEMIA,1
2019-01-21,SE,Aracaju,80 - 89,M,HOSPITAL,OUTRAS,2
2020-01-21,SE,Aracaju,40 - 49,M,HOSPITAL,SEPTICEMIA,1
2020-01-21,SE,Aracaju,60 - 69,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-21,SE,Aracaju,70 - 79,F,HOSPITAL,OUTRAS,1
2019-01-21,SE,Aracaju,70 - 79,F,HOSPITAL,SEPTICEMIA,1
2020-01-21,SE,Aracaju,70 - 79,F,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-01-21,SE,Aracaju,80 - 89,F,HOSPITAL,OUTRAS,1
2020-01-21,SE,Aracaju,80 - 89,F,HOSPITAL,OUTRAS,1
2019-01-21,SE,Aracaju,90 - 99,F,HOSPITAL,SEPTICEMIA,1
2020-01-21,SE,Aracaju,< 9,F,HOSPITAL,SEPTICEMIA,1
2020-01-21,SE,Aracaju,40 - 49,F,HOSPITAL,SEPTICEMIA,1
2020-01-21,SE,Aracaju,50 - 59,F,HOSPITAL,PNEUMONIA,1
2020-01-21,SE,Aracaju,60 - 69,F,HOSPITAL,OUTRAS,1
2019-01-22,SE,Aracaju,20 - 29,M,HOSPITAL,OUTRAS,1
2019-01-22,SE,Aracaju,50 - 59,M,HOSPITAL,OUTRAS,1
2020-01-22,SE,Aracaju,50 - 59,M,HOSPITAL,CHOQUE_CARD,1
2019-01-22,SE,Aracaju,70 - 79,M,HOSPITAL,OUTRAS,1
2019-01-22,SE,Aracaju,70 - 79,M,HOSPITAL,INFARTO,1
2020-01-22,SE,Aracaju,70 - 79,M,HOSPITAL,PNEUMONIA,1
2019-01-22,SE,Aracaju,80 - 89,M,HOSPITAL,CHOQUE_CARD,1
2019-01-22,SE,Aracaju,80 - 89,M,HOSPITAL,PNEUMONIA,1
2020-01-22,SE,Aracaju,80 - 89,M,HOSPITAL,PNEUMONIA,1
2019-01-22,SE,Aracaju,N/I,M,HOSPITAL,CHOQUE_CARD,1
2020-01-22,SE,Aracaju,N/I,M,HOSPITAL,OUTRAS,1
2020-01-22,SE,Aracaju,60 - 69,M,HOSPITAL,OUTRAS,1
2020-01-22,SE,Aracaju,60 - 69,M,HOSPITAL,CHOQUE_CARD,1
2019-01-22,SE,Aracaju,70 - 79,M,DOMICILIO,INSUFICIENCIA_RESPIRATORIA,1
2019-01-22,SE,Aracaju,40 - 49,F,HOSPITAL,OUTRAS,1
