Date,State,City,Age,Gender,Place of Death,Cause,#
2019-06-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,OUTRAS,1
2019-06-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,SEPTICEMIA,1
2020-06-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,OUTRAS,2
2020-06-01,RJ,Rio de Janeiro,< 9,M,HOSPITAL,SEPTICEMIA,1
2019-06-01,RJ,Rio de Janeiro,20 - 29,M,HOSPITAL,OUTRAS,1
2019-06-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,OUTRAS,2
2019-06-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-06-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,PNEUMONIA,1
2020-06-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,OUTRAS,1
2020-06-01,RJ,Rio de Janeiro,30 - 39,M,HOSPITAL,COVID,1
2019-06-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,OUTRAS,1
2019-06-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,PNEUMONIA,1
2020-06-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,OUTRAS,3
2020-06-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,COVID,1
2020-06-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,PNEUMONIA,1
2020-06-01,RJ,Rio de Janeiro,40 - 49,M,HOSPITAL,SEPTICEMIA,2
2019-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,OUTRAS,3
2019-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,PNEUMONIA,5
2019-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,SEPTICEMIA,3
2020-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,OUTRAS,3
2020-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,COVID,5
2020-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2020-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,PNEUMONIA,1
2020-06-01,RJ,Rio de Janeiro,50 - 59,M,HOSPITAL,SEPTICEMIA,2
2019-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,OUTRAS,3
2019-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,INDETERMINADA,1
2019-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,PNEUMONIA,1
2019-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,SEPTICEMIA,5
2020-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,OUTRAS,5
2020-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,COVID,13
2020-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,PNEUMONIA,2
2020-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,SEPTICEMIA,2
2020-06-01,RJ,Rio de Janeiro,60 - 69,M,HOSPITAL,SRAG,2
2019-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,OUTRAS,5
2019-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,PNEUMONIA,4
2019-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,OUTRAS,4
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,COVID,18
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,INDETERMINADA,2
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,2
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,PNEUMONIA,1
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,SEPTICEMIA,2
2020-06-01,RJ,Rio de Janeiro,70 - 79,M,HOSPITAL,SRAG,1
2019-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,OUTRAS,3
2019-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,PNEUMONIA,6
2019-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,SEPTICEMIA,3
2020-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,OUTRAS,3
2020-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,COVID,9
2020-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,PNEUMONIA,3
2020-06-01,RJ,Rio de Janeiro,80 - 89,M,HOSPITAL,SRAG,3
2019-06-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,OUTRAS,3
2019-06-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,INSUFICIENCIA_RESPIRATORIA,1
2019-06-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,PNEUMONIA,1
2020-06-01,RJ,Rio de Janeiro,90 - 99,M,HOSPITAL,OUTRAS,2
